Verb,VerbNet Class,Situation Domain,Situation,Polysemy,,,Distinct Verb,Mapping Count,,,,,,Gaps
gobble,animal_sounds-38,Creation,Emission,Polysemous,,,occupy,1,,,Creation,,,
gobble,gobble-39.3,Transformation,Ingestion,Polysemous,,,occur,1,,,Transformation,,,
goggle,nonverbal_expression-40.2,Existence,Existence,Polysemous,,,off,1,,,Existence,,,
goggle,peer-30.3,Perception,Look,Polysemous,,,offend,1,,,Perception,,,
gondola,vehicle-51.4.1,Motion,Vehicular Motion,Monosemous,,,offer,2,,,Motion,,,
goose_step,run-51.3.2,Motion,Basic Motion,Monosemous,,,officiate,1,,,Motion,,,
gorge,gorge-39.6,Transformation,Ingestion,Monosemous,,,offload,1,,,Transformation,,,
gossip,chit_chat-37.6,Communication,Joint Statement,Monosemous,,,ogle,1,,,Communication,,,
gouge,carve-21.2,Force,Basic Force,Monosemous,,,oil,1,,,Force,,,
govern,supervision-95.2.2,Affiliation,Membership,Monosemous,,,oink,1,,,Affiliation,,,
grab,obtain-13.5.2,Possession,Dynamic Possession,Polysemous,,,omit,1,,,Possession,,,
grab,steal-10.5,Possession,Transfer of Possession,Polysemous,,,ooze,1,,,Possession,,,
grace,ﬁll-9.8,Incremental,Basic Incremental,Monosemous,,,open,4,,,Incremental,,,
grade,classify-29.10,Cognition,Judge,Polysemous,,,ordain,1,,,Cognition,,,
grade,remedy-45.7,Transformation,Causative Change of State,Polysemous,,,order,3,,,Transformation,,,
graffiti,butter-9.9,Incremental,Causative Incremental,Monosemous,,,organize,1,,,Incremental,,,
grant,future_having-13.3,Possession,Future Having,Monosemous,,,ornament,2,,,Possession,,,
granulate,break-45.1,Transformation,Basic Change of State,Monosemous,,,orphan,1,,,Transformation,,,
grasp,comprehend-87.2,Cognition,Judge,Polysemous,,,oscillate,1,,,Cognition,,,
grasp,touch-20,Force,Basic Force,Polysemous,,,osculate,1,,,Force,,,
grass,butter-9.9,Incremental,Causative Incremental,Monosemous,,,ossify,1,,,Incremental,,,
grate,appeal-31.4,Desire,Desire,Polysemous,,,ostracize,1,,,Desire,,,
grate,carve-21.2,Force,Basic Force,Polysemous,,,oust,2,,,Force,,,
gratify,amuse-31.1,Affect,Affect,Monosemous,,,outbid,1,,,Affect,,,
graupel,weather-57,Existence,Existence,Monosemous,,,outdo,1,,,Existence,,,
gravel,butter-9.9,Incremental,Causative Incremental,Monosemous,,,outfit,2,,,Incremental,,,
gray,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,outlaw,1,,,Transformation,,,
graze,dine-39.5,Transformation,Ingestion,Polysemous,,,outline,1,,,Transformation,,,
graze,hurt-40.8.3,Transformation,Hurt,Polysemous,,,outmatch,1,,,Transformation,,,
graze,touch-20,Force,Basic Force,Polysemous,,,outnumber,1,,,Force,,,
grease,butter-9.9,Incremental,Causative Incremental,Monosemous,,,outrace,1,,,Incremental,,,
green,entity_speciﬁc_cos-45.5,Transformation,Basic Change of State,Monosemous,,,outrage,1,,,Transformation,,,
greet,judgment-33.1,Affiliation,Attack,Polysemous,,,outshine,1,,,Affiliation,,,
greet,judgment-33.1,Cognition,Judge,Polysemous,,,outsmart,1,,,Cognition,,,
grieve,amuse-31.1,Affect,Affect,Monosemous,,,outstrip,1,,,Affect,,,
grieve,marvel-31.3,Affect,Affect,Monosemous,,,outweigh,1,,,Affect,,,
grill,cooking-45.3,Transformation,Causative Change of State,Polysemous,,,outwit,1,,,Transformation,,,
grill,preparing-26.3,Creation,Causative Creation,Polysemous,,,oven-fry,1,,,Creation,,,
grimace,nonverbal_expression-40.2,Existence,Existence,Monosemous,,,oven-poach,1,,,Existence,,,
grin,nonverbal_expression-40.2,Existence,Existence,Monosemous,,,overawe,1,,,Existence,,,
grind,build-26.1,Creation,Causative Creation,Polysemous,,,overbake,2,,,Creation,,,
grind,carve-21.2,Force,Basic Force,Polysemous,,,overburden,1,,,Force,,,
grind,crane-40.3.2,Existence,Existence,Polysemous,,,overcast,1,,,Existence,,,
grip,touch-20,Force,Basic Force,Monosemous,,,overcharge,2,,,Force,,,
gripe,complain-37.8,Communication,Statement,Monosemous,,,overcome,1,,,Communication,,,
groan,animal_sounds-38,Creation,Emission,Polysemous,,,overcook,1,,,Creation,,,
groan,manner_speaking-37.3,Communication,Statement,Polysemous,,,overdraw,1,,,Communication,,,
groan,nonverbal_expression-40.2,Existence,Existence,Polysemous,,,overemphasize,1,,,Existence,,,
groan,sound_emission-43.2,Creation,Emission,Polysemous,,,overestimate,1,,,Creation,,,
groom,groom-41.1.2,Transformation,Causative Change of State,Polysemous,,,overhang,1,,,Transformation,,,
groom,hire-13.5.3,Affiliation,Cause Membership,Polysemous,,,overhear,1,,,Affiliation,,,
groove,butter-9.9,Incremental,Causative Incremental,Polysemous,,,overheat,1,,,Incremental,,,
groove,marvel-31.3,Affect,Affect,Polysemous,,,overleap,1,,,Affect,,,
grope,rummage-35.5,Volition,Search,Polysemous,,,overload,1,,,Volition,,,
grope,touch-20,Force,Basic Force,Polysemous,,,overrate,1,,,Force,,,
grouch,complain-37.8,Communication,Statement,Monosemous,,,overreach,1,,,Communication,,,
ground,base-97.1,Association,Base and Deduce,Polysemous,,,oversee,1,,,Association,,,
ground,pocket-9.10,Incremental,Basic Incremental,Polysemous,,,overshadow,1,,,Incremental,,,
group,classify-29.10,Cognition,Judge,Polysemous,,,overstate,1,,,Cognition,,,
group,herd-47.5.2,Incremental,Basic Incremental,Polysemous,,,overstep,1,,,Incremental,,,
grouse,complain-37.8,Communication,Statement,Monosemous,,,overstress,1,,,Communication,,,
grow,appear-48.1.1,Location,Location,Polysemous,,,overstretch,1,,,Location,,,
grow,build-26.1,Creation,Causative Creation,Polysemous,,,overwhelm,1,,,Creation,,,
grow,grow-26.2.1,Creation,Form,Polysemous,,,owe,1,,,Creation,,,
grow,other_cos-45.4,Transformation,Basic Change of State,Polysemous,,,own,1,,,Transformation,,,
grow,rear-26.2.2,Creation,Form,Polysemous,,,oxidize,1,,,Creation,,,
growl,animal_sounds-38,Creation,Emission,Polysemous,,,oxygenate,1,,,Creation,,,
growl,manner_speaking-37.3,Communication,Statement,Polysemous,,,pace,1,,,Communication,,,
growl,nonverbal_expression-40.2,Existence,Existence,Polysemous,,,pacify,1,,,Existence,,,
growl,sound_emission-43.2,Creation,Emission,Polysemous,,,pack,1,,,Creation,,,
grudge,admire-31.2,Attend,Attend,Monosemous,,,pad,2,,,Attend,,,
grumble,complain-37.8,Communication,Statement,Monosemous,,,paddle,2,,,Communication,,,
grumble,manner_speaking-37.3,Communication,Statement,Monosemous,,,padlock,1,,,Communication,,,
grunt,animal_sounds-38,Creation,Emission,Polysemous,,,page,1,,,Creation,,,
grunt,manner_speaking-37.3,Communication,Statement,Polysemous,,,pain,1,,,Communication,,,
guarantee,ensure-99,Affiliation,Defend,Polysemous,,,paint,4,,,Affiliation,,,
guarantee,future_having-13.3,Possession,Future Having,Polysemous,,,pair,2,,,Possession,,,
guarantee,promise-37.13,Communication,Communicate,Polysemous,,,palaver,2,,,Communication,,,
guard,captain-29.8,Affiliation,Role,Polysemous,,,pale,1,,,Affiliation,,,
guard,defend-72.3,Communication,Response,Polysemous,,,palpitate,1,,,Communication,,,
guard,defend-72.3,Affiliation,Defend,Polysemous,,,pan,1,,,Affiliation,,,
guess,conjecture-29.5,Cognition,Judge,Polysemous,,,pan-broil,1,,,Cognition,,,
guess,discover-84,Cognition,Know,Polysemous,,,pan-fry,1,,,Cognition,,,
guess,estimate-34.2,Cognition,Feel,Polysemous,,,panel,2,,,Cognition,,,
guesstimate,estimate-34.2,Cognition,Feel,Monosemous,,,panic,1,,,Cognition,,,
guest,lodge-46,Location,Location,Monosemous,,,pant,2,,,Location,,,
guffaw,nonverbal_expression-40.2,Existence,Existence,Monosemous,,,paper,1,,,Existence,,,
guide,accompany-51.7,Motion,Pursuit,Monosemous,,,parachute,1,,,Motion,,,
gull,cheat-10.6.1,Possession,Transfer of Possession,Monosemous,,,parade,1,,,Possession,,,
gulp,gobble-39.3,Transformation,Ingestion,Monosemous,,,paralyze,1,,,Transformation,,,
gum,chew-39.2,Transformation,Ingestion,Polysemous,,,parboil,1,,,Transformation,,,
gum,tape-22.4,Incremental,Basic Incremental,Polysemous,,,parch,1,,,Incremental,,,
gum_up,ﬁll-9.8,Incremental,Basic Incremental,Monosemous,,,pardon,2,,,Incremental,,,
gurgle,manner_speaking-37.3,Communication,Statement,Polysemous,,,pare,1,,,Communication,,,
gurgle,sound_emission-43.2,Creation,Emission,Polysemous,,,park,1,,,Creation,,,
gush,appear-48.1.1,Location,Location,Polysemous,,,parquet,1,,,Location,,,
gush,lecture-37.11,Communication,Statement,Polysemous,,,part,2,,,Communication,,,
gush,substance_emission-43.4,Creation,Emission,Polysemous,,,participate,1,,,Creation,,,
gussy_up,dress-41.1.1,Incremental,Basic Incremental,Monosemous,,,partition,2,,,Incremental,,,
gust,weather-57,Existence,Existence,Monosemous,,,partner,1,,,Existence,,,
gut,pit-10.7,Incremental,Causative Incremental,Monosemous,,,pass,7,,,Incremental,,,
guzzle,gobble-39.3,Transformation,Ingestion,Monosemous,,,pass_away,1,,,Transformation,,,
gyrate,body_internal_motion-49.1,Existence,Existence,Monosemous,,,pass_on,1,,,Existence,,,
hack,build-26.1,Creation,Causative Creation,Polysemous,,,pass_out,2,,,Creation,,,
hack,cut-21.1,Transformation,Basic Change of State,Polysemous,,,paste,1,,,Transformation,,,
hack,cut-21.1,Transformation,Causative Change of State,Polysemous,,,pasteurize,1,,,Transformation,,,
hack,split-23.2,Incremental,Basic Incremental,Polysemous,,,pasture,1,,,Incremental,,,
haggle,correspond-36.1,Communication,Joint Statement,Monosemous,,,pat,1,,,Communication,,,
hail,characterize-29.2,Communication,Statement,Polysemous,,,patch,1,,,Communication,,,
hail,judgment-33.1,Affiliation,Attack,Polysemous,,,patrol,1,,,Affiliation,,,
hail,judgment-33.1,Cognition,Judge,Polysemous,,,patronize,1,,,Cognition,,,
hail,weather-57,Existence,Existence,Polysemous,,,patter,1,,,Existence,,,
hallucinate,marvel-31.3,Affect,Affect,Monosemous,,,pauper,1,,,Affect,,,
halter,butter-9.9,Incremental,Causative Incremental,Monosemous,,,pave,1,,,Incremental,,,
halve,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,paw,2,,,Transformation,,,
hammer,build-26.1,Creation,Causative Creation,Polysemous,,,pawn,2,,,Creation,,,
hammer,bump-18.4,Force,Basic Force,Polysemous,,,pay,1,,,Force,,,
hammer,funnel-9.3,Incremental,Basic Incremental,Polysemous,,,peal,1,,,Incremental,,,
hammer,hit-18.1,Force,Basic Force,Polysemous,,,peck,2,,,Force,,,
hand,send-11.1,Motion,Send,Monosemous,,,pedal,1,,,Motion,,,
hand_out,contribute-13.2,Possession,Dynamic Possession,Monosemous,,,peddle,2,,,Possession,,,
handcuff,tape-22.4,Incremental,Basic Incremental,Monosemous,,,pee,1,,,Incremental,,,
handdeliver,send-11.1,Motion,Send,Monosemous,,,peek,1,,,Motion,,,
handfeed,feeding-39.7,Transformation,Feeding,Monosemous,,,peel,1,,,Transformation,,,
handle,confront-98,Communication,Response,Monosemous,,,peep,2,,,Communication,,,
handpaint,image_impression-25.1,Creation,Image Creation,Monosemous,,,peer,1,,,Creation,,,
hang,assuming_position-50,Existence,Existence,Polysemous,,,peeve,1,,,Existence,,,
hang,crane-40.3.2,Existence,Existence,Polysemous,,,peg,3,,,Existence,,,
hang,poison-42.2,Transformation,Causative Change of State,Polysemous,,,pelt,2,,,Transformation,,,
hang,put_spatial-9.2,Incremental,Basic Incremental,Polysemous,,,pen,1,,,Incremental,,,
hang,spatial_conﬁguration-47.6,Existence,Existence,Polysemous,,,pencil,1,,,Existence,,,
hang,spray-9.7,Incremental,Basic Incremental,Polysemous,,,penetrate,1,,,Incremental,,,
hangar,pocket-9.10,Incremental,Basic Incremental,Monosemous,,,pepper,1,,,Incremental,,,
hanker,long-32.2,Volition,Intend,Monosemous,,,pepperspray,1,,,Volition,,,
happen,occur-48.3,Existence,Existence,Monosemous,,,perambulate,1,,,Existence,,,
happen_on,encounter-30.5,Perception,Sense,Monosemous,,,perceive,2,,,Perception,,,
happen_upon,encounter-30.5,Perception,Sense,Monosemous,,,perch,2,,,Perception,,,
harass,amuse-31.1,Affect,Affect,Polysemous,,,percolate,2,,,Affect,,,
harass,bully-59.5,Affiliation,Attack,Polysemous,,,perfect,1,,,Affiliation,,,
hardboil,cooking-45.3,Transformation,Causative Change of State,Polysemous,,,perforate,1,,,Transformation,,,
hardboil,preparing-26.3,Creation,Causative Creation,Polysemous,,,perform,1,,,Creation,,,
harden,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,perfume,1,,,Transformation,,,
harm,amuse-31.1,Affect,Affect,Monosemous,,,perish,2,,,Affect,,,
harmonize,harmonize-22.6,Association,Correlate and Differ,Polysemous,,,perk,1,,,Association,,,
harmonize,other_cos-45.4,Transformation,Basic Change of State,Polysemous,,,perm,1,,,Transformation,,,
harness,butter-9.9,Incremental,Causative Incremental,Polysemous,,,perpetuate,1,,,Incremental,,,
harness,tape-22.4,Incremental,Basic Incremental,Polysemous,,,perplex,1,,,Incremental,,,
harry,bully-59.5,Affiliation,Attack,Monosemous,,,persevere,1,,,Affiliation,,,
hasten,other_cos-45.4,Transformation,Basic Change of State,Polysemous,,,persist,1,,,Transformation,,,
hasten,run-51.3.2,Motion,Basic Motion,Polysemous,,,persuade,1,,,Motion,,,
hat,butter-9.9,Incremental,Causative Incremental,Monosemous,,,pertain,1,,,Incremental,,,
hatch,grow-26.2.1,Creation,Form,Monosemous,,,perturb,1,,,Creation,,,
hate,admire-31.2,Attend,Attend,Monosemous,,,peruse,1,,,Attend,,,
haul,carry-11.4,Motion,Carry,Monosemous,,,pester,1,,,Motion,,,
haunt,amuse-31.1,Affect,Affect,Monosemous,,,pet,2,,,Affect,,,
have,birth-28.2,Creation,Causative Creation,Polysemous,,,petrify,1,,,Creation,,,
have,devour-39.4,Transformation,Ingestion,Polysemous,,,phone,3,,,Transformation,,,
have,own-100.1,Possession,Static Possession,Polysemous,,,phosphoresce,1,,,Possession,,,
hawk,breathe-40.1.2,Creation,Emission,Polysemous,,,photocopy,1,,,Creation,,,
hawk,give-13.1,Possession,Transfer of Possession,Polysemous,,,photograph,1,,,Possession,,,
hawk,give-13.1,Possession,Buy and Sell,Polysemous,,,pick,3,,,Possession,,,
head,contiguous_location-47.8,Location,Location,Polysemous,,,pick_up,1,,,Location,,,
head,pit-10.7,Incremental,Causative Incremental,Polysemous,,,picket,1,,,Incremental,,,
head_on,confront-98,Communication,Response,Monosemous,,,pickle,1,,,Communication,,,
heal,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,pickpocket,1,,,Transformation,,,
heap,spray-9.7,Incremental,Basic Incremental,Monosemous,,,picnic,1,,,Incremental,,,
hear,learn-14,Cognition,Learn,Polysemous,,,picture,1,,,Cognition,,,
hear,see-30.1,Perception,Sense,Polysemous,,,pierce,1,,,Perception,,,
hearten,amuse-31.1,Affect,Affect,Monosemous,,,pigeonhole,1,,,Affect,,,
heat,cooking-45.3,Transformation,Causative Change of State,Polysemous,,,pile,1,,,Transformation,,,
heat,other_cos-45.4,Transformation,Basic Change of State,Polysemous,,,pilfer,1,,,Transformation,,,
heave,carry-11.4,Motion,Carry,Polysemous,,,pillory,1,,,Motion,,,
heave,push-12,Force,Basic Force,Polysemous,,,pilot,1,,,Force,,,
hee-haw,animal_sounds-38,Creation,Emission,Monosemous,,,pin,1,,,Creation,,,
heel,butter-9.9,Incremental,Causative Incremental,Polysemous,,,pinch,2,,,Incremental,,,
heel,performance-26.7,Creation,Causative Creation,Polysemous,,,pine,1,,,Creation,,,
heel,put_direction-9.4,Incremental,Causative Incremental,Polysemous,,,ping,2,,,Incremental,,,
heel,put_direction-9.4,Incremental,Pick Up and Drop Off,Polysemous,,,pinion,1,,,Incremental,,,
heft,carry-11.4,Motion,Carry,Monosemous,,,pink,3,,,Motion,,,
heighten,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,pioneer,1,,,Transformation,,,
helicopter,vehicle-51.4.1,Motion,Vehicular Motion,Monosemous,,,pip,2,,,Motion,,,
hellenize,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,pipe,1,,,Transformation,,,
hem,nonverbal_expression-40.2,Existence,Existence,Monosemous,,,pique,1,,,Existence,,,
henna,braid-41.2.2,Transformation,Causative Change of State,Monosemous,,,pirate,1,,,Transformation,,,
herald,judgment-33.1,Affiliation,Attack,Polysemous,,,pirouette,1,,,Affiliation,,,
herald,judgment-33.1,Cognition,Judge,Polysemous,,,piss,1,,,Cognition,,,
herd,herd-47.5.2,Incremental,Basic Incremental,Monosemous,,,pit,1,,,Incremental,,,
hew,cut-21.1,Transformation,Basic Change of State,Polysemous,,,pitch,1,,,Transformation,,,
hew,cut-21.1,Transformation,Causative Change of State,Polysemous,,,pith,1,,,Transformation,,,
hew,split-23.2,Incremental,Basic Incremental,Polysemous,,,pity,1,,,Incremental,,,
hibernate,fit-54.3,Quantification,Capacity,Monosemous,,,placate,1,,,Quantification,,,
hiccup,hiccup-40.1.1,Existence,Existence,Monosemous,,,place,1,,,Existence,,,
hide,concealment-16,Incremental,Concealment,Monosemous,,,plagiarize,1,,,Incremental,,,
highjack,steal-10.5,Possession,Transfer of Possession,Monosemous,,,plague,1,,,Possession,,,
highlight,braid-41.2.2,Transformation,Causative Change of State,Monosemous,,,plait,1,,,Transformation,,,
hijack,obtain-13.5.2,Possession,Dynamic Possession,Monosemous,,,plan,2,,,Possession,,,
hike,run-51.3.2,Motion,Basic Motion,Monosemous,,,plank,2,,,Motion,,,
hinge,tape-22.4,Incremental,Basic Incremental,Monosemous,,,plant,2,,,Incremental,,,
hint,say-37.7,Communication,Statement,Monosemous,,,plash,1,,,Communication,,,
hire,get-13.5.1,Possession,Dynamic Possession,Polysemous,,,plaster,2,,,Possession,,,
hire,get-13.5.1,Possession,Buy and Sell,Polysemous,,,plate,1,,,Possession,,,
hire,hire-13.5.3,Affiliation,Cause Membership,Polysemous,,,play,3,,,Affiliation,,,
hiss,animal_sounds-38,Creation,Emission,Polysemous,,,please,1,,,Creation,,,
hiss,manner_speaking-37.3,Communication,Statement,Polysemous,,,pledge,2,,,Communication,,,
hiss,sound_emission-43.2,Creation,Emission,Polysemous,,,plink,1,,,Creation,,,
hit,bump-18.4,Force,Basic Force,Polysemous,,,plod,1,,,Force,,,
hit,contiguous_location-47.8,Location,Location,Polysemous,,,plonk,1,,,Location,,,
hit,hit-18.1,Force,Basic Force,Polysemous,,,plop,4,,,Force,,,
hit,hurt-40.8.3,Transformation,Hurt,Polysemous,,,plot,2,,,Transformation,,,
hit,reach-51.8,Motion,Basic Motion,Polysemous,,,plough,1,,,Motion,,,
hit,throw-17.1,Motion,Throw,Polysemous,,,plow,1,,,Motion,,,
hitch,tape-22.4,Incremental,Basic Incremental,Monosemous,,,pluck,4,,,Incremental,,,
hitchhike,run-51.3.2,Motion,Basic Motion,Monosemous,,,plug,1,,,Motion,,,
hobble,run-51.3.2,Motion,Basic Motion,Monosemous,,,plumb,1,,,Motion,,,
hock,give-13.1,Possession,Transfer of Possession,Polysemous,,,plummit,1,,,Possession,,,
hock,give-13.1,Possession,Buy and Sell,Polysemous,,,plump,1,,,Possession,,,
hoe,funnel-9.3,Incremental,Basic Incremental,Monosemous,,,plunder,1,,,Incremental,,,
hoist,carry-11.4,Motion,Carry,Polysemous,,,plunge,2,,,Motion,,,
hoist,put_direction-9.4,Incremental,Causative Incremental,Polysemous,,,plunk,1,,,Incremental,,,
hoist,put_direction-9.4,Incremental,Pick Up and Drop Off,Polysemous,,,ply,1,,,Incremental,,,
hold,conjecture-29.5,Cognition,Judge,Polysemous,,,poach,3,,,Cognition,,,
hold,contain-15.4,Force,Constrain,Polysemous,,,pocket,1,,,Force,,,
hold,exist-47.1,Existence,Existence,Polysemous,,,pod,1,,,Existence,,,
hold,fit-54.3,Quantification,Capacity,Polysemous,,,point,1,,,Quantification,,,
hold,own-100.1,Possession,Static Possession,Polysemous,,,poison,2,,,Possession,,,
hold,support-15.3,Force,Constrain,Polysemous,,,poke,2,,,Force,,,
hold_up,support-15.3,Force,Constrain,Monosemous,,,polarize,1,,,Force,,,
holler,manner_speaking-37.3,Communication,Statement,Monosemous,,,police,1,,,Communication,,,
hollow,clear-10.3,Incremental,Basic Incremental,Monosemous,,,polish,1,,,Incremental,,,
homogenize,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,polka,1,,,Transformation,,,
honeycomb,ﬁll-9.8,Incremental,Basic Incremental,Monosemous,,,poll,1,,,Incremental,,,
honk,animal_sounds-38,Creation,Emission,Monosemous,,,pollard,1,,,Creation,,,
honk,sound_emission-43.2,Creation,Emission,Monosemous,,,polymerize,1,,,Creation,,,
honor,judgment-33.1,Affiliation,Attack,Polysemous,,,pomade,1,,,Affiliation,,,
honor,judgment-33.1,Cognition,Judge,Polysemous,,,pommel,1,,,Cognition,,,
hoodwink,trick-59.2,Affiliation,Inducive,Monosemous,,,pontificate,1,,,Affiliation,,,
hook,coil-9.6,Incremental,Basic Incremental,Polysemous,,,pooh_pooh,1,,,Incremental,,,
hook,steal-10.5,Possession,Transfer of Possession,Polysemous,,,pool,1,,,Possession,,,
hook,tape-22.4,Incremental,Basic Incremental,Polysemous,,,poop_out,1,,,Incremental,,,
hook-up,interact-36.6,Affiliation,Reciprocal,Monosemous,,,pootle,1,,,Affiliation,,,
hoot,animal_sounds-38,Creation,Emission,Polysemous,,,pop,2,,,Creation,,,
hoot,manner_speaking-37.3,Communication,Statement,Polysemous,,,pop_off,1,,,Communication,,,
hoot,sound_emission-43.2,Creation,Emission,Polysemous,,,pop_up,1,,,Creation,,,
hoover,wipe_instr-10.4.2,Incremental,Causative Incremental,Monosemous,,,popularize,1,,,Incremental,,,
hop,run-51.3.2,Motion,Basic Motion,Polysemous,,,port,1,,,Motion,,,
hop,swarm-47.5.1,Existence,Existence,Polysemous,,,portion-out,1,,,Existence,,,
hope,long-32.2,Volition,Intend,Monosemous,,,portray,1,,,Volition,,,
hopscotch,run-51.3.2,Motion,Basic Motion,Monosemous,,,pose,3,,,Motion,,,
horrify,amuse-31.1,Affect,Affect,Monosemous,,,posit,1,,,Affect,,,
horsewhip,spank-18.3,Force,Basic Force,Monosemous,,,position,1,,,Force,,,
hose,wipe_instr-10.4.2,Incremental,Causative Incremental,Monosemous,,,possess,1,,,Incremental,,,
hospitalize,conﬁne-92,Affiliation,Cause Membership,Monosemous,,,post,1,,,Affiliation,,,
host,captain-29.8,Affiliation,Role,Monosemous,,,poster,1,,,Affiliation,,,
hound,compel-59.1,Affiliation,Inducive,Monosemous,,,postmark,1,,,Affiliation,,,
house,fit-54.3,Quantification,Capacity,Polysemous,,,pot,1,,,Quantification,,,
house,pocket-9.10,Incremental,Basic Incremental,Polysemous,,,pot-roast,1,,,Incremental,,,
hover,modes_of_being_with_motion-47.3,Existence,Existence,Monosemous,,,pounce,1,,,Existence,,,
hover,spatial_conﬁguration-47.6,Existence,Existence,Monosemous,,,pound,4,,,Existence,,,
howl,animal_sounds-38,Creation,Emission,Polysemous,,,pour,4,,,Creation,,,
howl,manner_speaking-37.3,Communication,Statement,Polysemous,,,pout,1,,,Communication,,,
howl,nonverbal_expression-40.2,Existence,Existence,Polysemous,,,powder,2,,,Existence,,,
howl,sound_emission-43.2,Creation,Emission,Polysemous,,,practice,1,,,Creation,,,
howl,weather-57,Existence,Existence,Polysemous,,,praise,3,,,Existence,,,
huddle,herd-47.5.2,Incremental,Basic Incremental,Polysemous,,,prance,1,,,Incremental,,,
huddle,spatial_conﬁguration-47.6,Existence,Existence,Polysemous,,,prattle,1,,,Existence,,,
huff,eat-39.1,Transformation,Ingestion,Monosemous,,,pray,1,,,Transformation,,,
hug,contiguous_location-47.8,Location,Location,Polysemous,,,pre-empt,1,,,Location,,,
hug,marry-36.2,Affiliation,Reciprocal,Polysemous,,,preach,2,,,Affiliation,,,
hull,pit-10.7,Incremental,Causative Incremental,Monosemous,,,precede,1,,,Incremental,,,
hum,bulge-47.5.3,Existence,Existence,Polysemous,,,precipitate,1,,,Existence,,,
hum,manner_speaking-37.3,Communication,Statement,Polysemous,,,predate,1,,,Communication,,,
hum,performance-26.7,Creation,Causative Creation,Polysemous,,,predict,1,,,Creation,,,
hum,sound_emission-43.2,Creation,Emission,Polysemous,,,predominate,1,,,Creation,,,
hum,tingle-40.8.2,Existence,Existence,Polysemous,,,preen,1,,,Existence,,,
humanize,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,prefer,2,,,Transformation,,,
humble,amuse-31.1,Affect,Affect,Monosemous,,,prefill,1,,,Affect,,,
humidify,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,prejudge,1,,,Transformation,,,
humiliate,amuse-31.1,Affect,Affect,Monosemous,,,preoccupy,1,,,Affect,,,
hunch,assuming_position-50,Existence,Existence,Monosemous,,,prepare,2,,,Existence,,,
hunch,crane-40.3.2,Existence,Existence,Monosemous,,,present,2,,,Existence,,,
hunch,spatial_conﬁguration-47.6,Existence,Existence,Monosemous,,,preserve,2,,,Existence,,,
hunch_up,assuming_position-50,Existence,Existence,Monosemous,,,preside_over,1,,,Existence,,,
hunger,long-32.2,Volition,Intend,Polysemous,,,press,2,,,Volition,,,
hunger,marvel-31.3,Affect,Affect,Polysemous,,,pressure,1,,,Affect,,,
hunt,hunt-35.1,Volition,Search,Monosemous,,,presume,1,,,Volition,,,
hurl,throw-17.1,Motion,Throw,Monosemous,,,prettify,1,,,Motion,,,
hurry,run-51.3.2,Motion,Basic Motion,Monosemous,,,prevail,1,,,Motion,,,
hurt,amuse-31.1,Affect,Affect,Polysemous,,,price,1,,,Affect,,,
hurt,hurt-40.8.3,Transformation,Hurt,Polysemous,,,prick,2,,,Transformation,,,
hurt,marvel-31.3,Affect,Affect,Polysemous,,,prickle,1,,,Affect,,,
hurtle,run-51.3.2,Motion,Basic Motion,Monosemous,,,primp,1,,,Motion,,,
hush,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,print,1,,,Transformation,,,
husk,pit-10.7,Incremental,Causative Incremental,Monosemous,,,print_out,1,,,Incremental,,,
hustle,bully-59.5,Affiliation,Attack,Monosemous,,,print_up,1,,,Affiliation,,,
hybridize,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,prise,1,,,Transformation,,,
hydrate,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,privatize,1,,,Transformation,,,
hydrogenate,remedy-45.7,Transformation,Causative Change of State,Monosemous,,,prize,1,,,Transformation,,,
hydrolize,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,probe,1,,,Transformation,,,
hyperbolize,overstate-37.12,Communication,Statement,Monosemous,,,proclaim,2,,,Communication,,,
hyperextend,bend-45.2,Transformation,Basic Change of State,Monosemous,,,procreate,1,,,Transformation,,,
hyperventilate,bulge-47.5.3,Existence,Existence,Monosemous,,,procure,2,,,Existence,,,
hypnotize,amuse-31.1,Affect,Affect,Monosemous,,,prod,2,,,Affect,,,
ice,butter-9.9,Incremental,Causative Incremental,Polysemous,,,produce,2,,,Incremental,,,
ice,illustrate-25.3,Incremental,Basic Incremental,Polysemous,,,profess,1,,,Incremental,,,
ice,remedy-45.7,Transformation,Causative Change of State,Polysemous,,,proffer,3,,,Transformation,,,
identify,characterize-29.2,Communication,Statement,Monosemous,,,prognosticate,2,,,Communication,,,
idolize,admire-31.2,Attend,Attend,Monosemous,,,progress,1,,,Attend,,,
ignite,other_cos-45.4,Transformation,Basic Change of State,Monosemous,,,project,3,,,Transformation,,,
